Posts;Labels;date_created
Markuszower neemt geen woord terug, op rechts blijft het oorverdovend stil. De premier reageert laat en slap. Dit is geen willekeurige uitspraak van een politicus, maar een oproep tot geweld. Daar mag geen enkele ruimte voor zijn. Wij willen volgende week een debat.;0;2026-05-15T14:06:45.000Z
Gidi Markuszower doet een oproep tot “maximaal geweld” tegen Palestijnse vluchtelingen. Diep weerzinwekkende taal, een absoluut dieptepunt. Dit vraagt om een collectieve veroordeling, van rechts tot links, van Kamer tot kabinet.;0;2026-05-14T14:16:30.000Z
"Dit is het gevolg van onafgebroken ophitsen door extreemrechtse groeperingen. Crimineel gedrag dat je niet af kan doen met zogenaamd ‘legitieme zorgen’. Het is een directe ondermijning van onze democratie. En bovendien levensgevaarlijk.

";0;2026-05-12T21:21:08.000Z
"PRO zegt al vanaf dag één tegen dit minderheidskabinet Jetten: de verhoging van de AOW, en de bezuinigingen op de arbeidsongeschiktheidsverzekering en de werkloosheidsuitkering moeten van tafel.

Mensen die keihard werken verdienen het om gezond hun pensioen te halen. ";0;2026-05-12T10:10:47.000Z
En politici die naar dit soort demonstraties komen om de boel op te stoken zijn onderdeel van het probleem. Neem onze democratie serieus. Ga ervoor staan, in plaats van haar te ondermijnen.;0;2026-05-11T13:07:34.000Z
"Vuurwerk gooien, mishandeling van een boa, extreemrechtse relschoppers. En nu deze explosie. Dit is niet normaal. De politiek moet zich hiertegen uitspreken. Dit is niet het Nederland dat we willen zijn. 

";0;2026-05-11T11:38:12.000Z
"Deze bezuinigingen gaan we niet laten gebeuren. Het is oneerlijk dat gewone mensen langer door moeten werken en fors gekort worden als ze werkloos raken of arbeidsongeschikt.

Wij trekken samen op met de vakbonden om deze plannen van tafel te krijgen! ✊

";0;2026-05-11T09:26:44.000Z
Onacceptabel wat er vanavond is gebeurd bij het partijkantoor van D66. En al de tweede keer. Dit soort geweld en intimidatie zijn een regelrechte aanval op onze democratie en rechtsstaat. Dat mogen we geen moment tolereren. Sterkte aan alle betrokkenen. ;0;2026-05-07T21:18:53.000Z
"Megawinsten voor oliebedrijven terwijl we steeds meer betalen voor onze energie. 

Het kan ook eerlijk. Door de overwinsten te belasten en met de opbrengsten het leven van gewone mensen weer betaalbaar te maken. ";0;2026-05-07T09:14:32.000Z
"Respectloos en onacceptabel. Vandaag staat in het teken van herdenken en stilstaan bij ons gedeelde verleden. Dat doen we met elkaar op een waardige manier. Dit soort vernielingen horen daar absoluut niet bij.

";0;2026-05-04T09:51:08.000Z
"Niemand zou geld moeten toeleggen om naar werk te reizen. Toch is dat de realiteit in o.a. de kraamzorg en thuiszorg.   

Daarom komt PRO op de Dag van de Arbeid met een plan, zodat iedereen voortaan hun reiskosten vergoed krijgt.

";1;2026-05-01T09:08:11.000Z
"Voor 49 euro onbeperkt reizen in de daluren met trein. Dat is wat PRO wil regelen voor jou. 

Het leven is al duur genoeg en de energiecrisis maakt vervoer nog duurder. Tijd voor plannen die gewone mensen echt helpen. Dat is onze inzet in het debat.

";1;2026-04-22T09:31:05.000Z
"Dit pakket is onvoldoende, zo help je gewone mensen de crisis niet door.

Belast de dikke winsten van oliebedrijven. Gebruik dat geld om gewone mensen wél echt te helpen.

PRO komt in de Tweede Kamer daarom met voorstellen om reizen met trein, bus en auto betaalbaarder te maken. ";0;2026-04-20T11:29:47.000Z
"Precies nu het leven voor gewone mensen steeds duurder wordt, krijgt dit minderheidskabinet het voor elkaar om twee plannen te presenteren die de huren hoger maken en de zorg duurder. 

Logisch toch? 😅

";0;2026-04-18T10:11:38.000Z
"De zorg moet niet asocialer, maar juist socialer. 

Heel slecht idee om het eigen risico te verhogen. Dit maakt zorg voor gewone mensen duurder en oneerlijker. 

Dit kan echt anders. Het kabinet rijdt op een muur af.

";0;2026-04-17T14:17:23.000Z
"Wat een hoopvol nieuws! Het einde van het tijdperk Orbán. De Hongaren hebben duidelijk gekozen vóór vrijheid, vóór democratie en vóór Europa. 

";1;2026-04-12T20:04:51.000Z
"Door de rekening bij gewone mensen te leggen terwijl de allerrijksten worden ontzien, rijdt Jetten af op een muur.  

Vandaag debatteert het minderheidskabinet met de Eerste Kamer over het regeerakkoord. Ook daar zal blijken: een fundamentele koerswijziging is nodig.";0;2026-04-07T08:00:56.000Z
"De olieprijzen stijgen. Laten we zorgen dat het OV betaalbaarder wordt.

";1;2026-04-01T11:09:39.000Z
"Dit land verdient een nieuwe politiek die vooruitgang vooropstelt voor ons allemaal. Die staat voor eerlijk delen. Voor standvastig zijn en trouw blijven aan wie je bent.

Dat is waar wij voor zijn opgericht. 

Welkom thuis bij Progressief Nederland. ";1;2026-03-27T08:16:49.000Z
"Progressief Nederland, roepnaam: PRO. 

Dat is de nieuwe naam van GroenLinks-PvdA. PRO staat voor een eerlijke en rechtvaardige samenleving. 

Ik ben Pro. Jij ook? ";1;2026-03-26T17:01:22.000Z
"Dit is echt onverantwoord, een houding die doet denken aan de coronacrisis. We moeten ons voorbereiden op een grote disruptie van de wereldeconomie.
";0;2026-03-20T12:52:43.000Z
"Afgelopen najaar waren we in 8 plaatsen de grootste, en nu in 42! Ontzettend goede prestatie, wat niet was gelukt zonder onze geweldige campaigners en jullie stem en vertrouwen. Dank jullie wel!

Wij gaan keihard aan de slag voor een Nederland waar iedereen vooruitkomt! ";1;2026-03-19T11:06:18.000Z
"Ik heb gestemd voor een groene, sociale en progressieve gemeente! Jij ook? 

Als je nog niet hebt gestemd, zoek je stempas en identiteitsbewijs erbij en loop nog even naar het stembureau. Gebruik je stemrecht, de keuze ligt in jouw handen. Kies GroenLinks-PvdA. 💚❤️ ";1;2026-03-18T09:45:32.000Z
Een woontoren met appartementen van 2000 euro per maand? Dat is voor gewone mensen onbetaalbaar. Daarom moeten we de woningbouw niet aan de markt overlaten, maar moet de overheid een grotere rol gaan spelen in het bouwen van betaalbare woningen. #GR26 #NederlandKiest ;0;2026-03-17T21:53:18.000Z
"Het kabinet wil tot augustus wachten om maatregelen te nemen tegen de stijgende energieprijzen. Terwijl de betaalbaarheid van het leven al onder druk staat. 

Die afwachtende houding is onverstandig. We moeten ieder moment kunnen ingrijpen. We willen hierover zsm in debat. ";0;2026-03-16T13:46:59.000Z
