Posts;Labels
@jesseklaver ;1
"Ontspan je ouwe reus.
En luister nou eens eerst goed wat ik heb gezegd voordat je weer gaat jengelen. 
Nederland moet een asielstop invoeren en dan inderdaad bij de grens een ieder zonder geldig visum tegenhouden.

Zoals nu gewoon al gebeurt in elk geciviliseerd land, ook in Nederland.
Als je op Schiphol bij de grens, instructies van de KMAR niet opvolgt wordt er ook nu al gepast geweld gebruikt. Desnoods maximaal geweld.

Nu over jouw Gazaanse vrienden:

Jij liep mee met de door Hamas gesponsorde en geïnfiltreerde Rode Lijn demonstratie.
Hiermee heb jij je met barbaarse terroristen vereenzelvigd.

Ik begrijp best dat jij al die Gazanen naar Nederland wil halen maar je moet het mij niet kwalijk nemen dat ik dat een enorm risico vind voor onze nationale veiligheid.

Daarom vind ik, dat onze KMAR alles op alles moet zetten, als nodig ook maximaal, om jouw terroristen vriendjes buiten de deur te houden. Kost jou Jesse misschien wat stemmen maar de Nederlander is dan wel wat veiliger. 

Zullen we het zo afspreken, amigo?";0
Beste @MinPres kom a.u.b. terug naar NL. En schud nu even niet de handen van de elite aan de andere kant van de wereld maar houd de handen vast van al die Nederlanders die snakken naar oplossingen voor hun problemen. Kom terug en los, samen met ons, het asielprobleem en al die andere problemen van zoveel Nederlanders, op.;1
"Oppakken, vastzetten en dan uitzetten dit soort daders.

De bestuurlijke bovenlaag van Nederland denkt dat er genoeg draagvlak is om steeds weer nieuwe potentiële misdadigers en geweldplegers ons land binnen te laten.

Maar genoeg is genoeg en vol is vol. ";0
Zeer terecht besluit van het OM! ;1
"Helemaal eens met de vice premier. Geweld past niet bij onze rechtsstaat. En keuren ook wij als DNA altijd en zonder uitzonderingen af.
Dit geweld ontslaat ons politici echter niet van de plicht om de problemen van al die Nederlanders, die zich oprecht en terecht zorgen maken  eindelijk op te lossen. Ik hoop beste @DilanYesilgoz dat je snel ook met ons om de tafel gaat om de asielinstroom eindelijk eens echt te stoppen, woningen te bouwen voor Nederlanders, ons geld niet meer weg te geven aan het buitenland en klimaat en de portemonnee van de Nederlanders met rust te laten en echte rust te gunnen.";1
"Helemaal eens met de vice premier. Geweld past niet bij onze rechtsstaat. En keuren ook wij als DNA altijd en zonder uitzonderingen af.
Dit geweld ontslaat ons politici echter niet om de problemen van al die Nederlanders, die zich oprecht en terecht zorgen maken  eindelijk op te lossen. Ik hoop beste @DilanYesilgoz dat je snel ook met ons om de tafel gaat om de asielinstroom eindelijk eens echt te stoppen, woningen te bouwen voor Nederlanders, ons geld niet meer weg te geven aan het buitenland en klimaat en de portemonnee van de Nederlanders met rust te laten en echte rust te gunnen.";1
"Helemaal eens met de vice premier. Geweld past niet bij onze rechtsstaat. En keuren ook wij als DNA altijd en zonder uitzonderingen af.
Dit geweld ontslaat ons politici echter niet om de problemen van al die Nederlanders, die zich oprecht en terecht zorgen maken  eindelijk op te lossen. Ik hoop beste @DilanYesilgoz dat je snel ook met ons om de tafel gaat om de asielinstroom eindelijk eens echt te stoppen, woningen te bouwen voor Nederlanders, ons geld niet meer weg te geven aan het buitenland en de portemonnee van de Nederlanders met rust te laten en echte rust te gunnen.";1
Bedankt Klaas Jelle Kofferman en Frans Hakvoort van Blanco Lijst 7 op Urk voor de plezierige en gezellige ontmoeting en interessante gesprekken. En wat is Urk prachtig!! ;1
Schandalig!! Benieuwd naar het signalement van de dader. Ik roep de politie op dit signalement vrij te geven en breed te verspreiden ;0
"De PVV van Geert Wilders heeft de eigen strenge asielwetten getorpedeerd en daarmee Nederland verder de asielcrisis ingeduwd. Natuurlijk gaat het kabinet Jetten (D66) en Yezilgoz (VVD) deze crisis niet oplossen. De boterzachte, niet werkende, nep maatregelen zullen niet leiden tot minder maar juist tot meer gelukzoekers. Van ons mag Nederland verwachten dat we alles zullen doen om al die nep vluchtelingen voor eens en voor altijd tegen te houden en terug te sturen naar hun eigen land. 

";0
De PVV van Geert Wilders heeft de eigen strenge asielwetten getorpedeerd en daarmee Nederland verder de asielcrisis ingeduwd. Natuurlijk gaat het kabinet Jetten (D66) en Yezilgoz (VVD) deze crisis niet oplossen. De boterzachte, niet werkende, nep maatregelen zullen niet leiden tot minder maar juist tot meer gelukzoekers. Van ons mag Nederland verwachten dat we alles zullen doen om al die nep vluchtelingen voor eens en voor altijd tegen te houden en terug te sturen naar hun eigen land.;0
"Veel sterkte voor @d66. Een explosie bij een partijkantoor is waarschijnlijk een gerichte aanslag; niet alleen op die specifieke partij maar op onze rechtsstaat en democratie. Ik hoop dat de autoriteiten de daders snel kunnen oppakken en langdurig vastzetten. Meningsverschillen in Nederland beslechten wij met woorden en niet met wapens.

";1
"Veel sterkte voor @d66. Een explosie bij een partijkantoor is waarschijnlijk een gerichte aanslag; niet alleen op die specifieke partij maar op onze rechtsstaat en democratie. Ik hoop dat de autoriteiten de daders snel kunnen oppakken en langdurig vastzetten. Meningsverschillen in Nederland beslechten wij met woorden en niet met wapens.";1
Wat een geweldige mensen hebben wij vandaag weer in Loosdrecht ontmoet. Zij maken zich zorgen over hun veiligheid en zijn boos dat een wnd. Burgemeester tegen hun zin in  mannen van ver hier vandaan midden in hun dorp worden plant. ;1
