Posts;Labels;date_created
"Wij willen geen land zijn waarin de grootste mond zijn zin krijgt. Het CDA staat pal voor alle lokale bestuurders, zij verdienen onze volledige steun. Wie de wet uitvoert, staat niet alleen.

Lees mijn gehele inbreng via de link hieronder 👇🏻. ";1;2026-05-26T21:03:07.000Z
"Er is geen enkele rechtvaardiging voor dit idiote en criminele gedrag. Het kan niet waar zijn dat in ons land de grootste mond zijn zin krijgt en criminele acties worden beloond. De stille meerderheid in Nederland keurt dit af en wil dit niet.

";0;2026-05-12T19:52:18.000Z
Inderdaad. Zonder Europa staan we niet sterk in een tumultueuze wereld. Alleen verenigd Europa kunnen en moeten we onze manier van leven beschermen. ;1;2026-05-09T12:41:25.000Z
"Bij een democratie hoort debat, geen geweld. Veel sterkte aan de collega’s van D66. Ik hoop dat de politie de daders snel vindt en bestraft.

";1;2026-05-07T20:04:13.000Z
"We zijn verdrietig om het overlijden van onze senator Greet Prins.

Greet was een krachtige vrouw met een groot hart voor de ander. Tot het laatste moment wilde ze van betekenis zijn voor anderen en dat was ze ook.

We wensen haar man en familie veel kracht en troost toe. ";1;2026-04-25T14:29:03.000Z
Het verlagen van de accijns is economisch niet verstandig. Door stijgende energieprijzen neemt onze gezamenlijke welvaart af. De vraag is niet óf we dat voelen, maar hoe we die last verdelen: tussen verschillende groepen in de samenleving of tussen het heden en de toekomst. ;0;2026-04-22T14:54:37.000Z
Mijn reactie op de aangekondigde maatregelen van het kabinet 👇🏻 ;1;2026-04-20T10:48:54.000Z
"Wat goed dat @sybrandbuma de nieuwe vice-voorzitter van de Raad van State wordt. Een belangrijke rol: de Raad van State toetst wetten en geeft advies aan de regering. 

Van harte gefeliciteerd Sybrand en houd ons scherp! 👊 ";1;2026-04-17T16:19:41.000Z
Felicitaties voor @magyarpeterMP. Ik kijk ernaar uit om hem in Europa bij één van de bijeenkomsten van de Europese Volkspartij te ontmoeten en samen te werken aan een sterker Europa.;1;2026-04-12T19:44:31.000Z
"De Hongaarse bevolking heeft vandaag duidelijk gemaakt: het regime van Orban moet stoppen. Deze verkiezingsuitkomst is enorm hoopvol. Voor Hongarije, voor de democratie, voor Europa.

";1;2026-04-12T19:44:30.000Z
"Regels helpen de samenleving goed functioneren, maar kunnen ook creativiteit en eigen initiatief ontmoedigen. Daarom is het goed dat we onnodige regels schrappen en de samenleving zuurstof geven. Een belangrijke opdracht voor dit kabinet.

";1;2026-04-09T08:39:40.000Z
"Wat een prachtige uitslag! Op sommige plekken blijven we gelijk, op sommige plekken stijgen we wat en op sommige plekken worden we zelfs de grootste.

Dit is het CDA-effect van al die vrijwilligers die als het moeilijk is, blijven sjouwen. Dank! ";1;2026-03-18T22:22:49.000Z
"Het is tijd dat we in het belang van een beter Nederland gaan samenwerken.

#Verkiezingen ";1;2026-03-18T06:15:00.000Z
"Steeds meer raadsleden, wethouders en burgemeesters hebben te maken met bedreigingen. 

Of we het nou eens zijn met elkaar of niet: 
landelijke politici hebben de plicht om te staan voor onze lokale bestuurders.

#slotdebat #gemeenteraadsverkiezingen #GR26 ";0;2026-03-17T21:28:12.000Z
"Gisteren in Rotterdam, nu in Amsterdam: aanslagen op de Joodse gemeenschap zijn onacceptabel en vreselijk laf. We staan achter de Joodse gemeenschap in Nederland. 

Antisemitisme is een gif dat we moeten blijven bestrijden. ";0;2026-03-14T07:17:54.000Z
"Inderdaad, stoppen met kernenergie was erg onverstandig. 

In 2022 presenteerde we als CDA al een actieplan voor het versnellen van de ontwikkeling van kleine modulaire kernreactoren (SMRs). Goed dat de EU Commissie er vaart achter zet.

";1;2026-03-10T15:26:29.000Z
"Vanochtend heb ik Stijn gebeld en sterkte gewenst. De schrik zit er goed in, maar gelukkig gaat het goed met hem. 

Bedreiging is onacceptabel. Lokale politici moeten zich veilig kunnen inzetten voor hun wijk of gemeente. ";1;2026-03-08T13:33:28.000Z
