Posts;Labels
"Een Russische drone maakt nu slachtoffers in EU en NAVO-bondgenoot Roemenië. Een grove schending van de Europese grenzen.

Poetin ver weg houden is in belang van heel Europa. Laten we Oekraïne maximaal steunen, en Rusland afschrikken met nieuwe sancties! ";0
Mevrouw de Vos (FvD), u staat hier als vertegenwoordiger van extremistisch reltuig! ;0
Meneer Markuszower, hoe haal je het in je hoofd dat soort dingen te zeggen? ;0
"Vandaag is het debat over geweld en extremisme in de samenleving. Maar @geertwilderspvv? Die schittert door afwezigheid.

Jarenlang olie op het vuur gooien, en vervolgens niet eens op je werk komen opdagen als het erover gaat. Historisch slap! Is het luiheid of lafheid?
";0
"Het grootste pakket asielmaatregelen sinds 2000 is een feit!

Het Europese migratiepact betekent meer grip, strengere controles aan de buitengrenzen, snellere procedures en sneller terugsturen van mensen die niet mogen blijven. Een belangrijke doorbraak en goed werk van @MinisterAenM!";1
"Het kabinet zet vandaag een grote en verstandige stap vooruit. Met een uitgestoken hand naar vakbonden om aan tafel te komen en mee te bouwen.

Zo doen we dat in Nederland: niet tegenover elkaar blijven staan, maar samenwerken aan een betere arbeidsmarkt. Aan het werk! ";1
"Staatssecretaris Aerdts (D66) blokkeert de overname van DigiD. Een uitstekende zet!

Gegevens van Nederlanders houd je onder eigen controle. Juist met DigiD willen we niet afhankelijk zijn van Amerikaanse leveranciers. Goed dat het kabinet dit bloedserieus neemt. ";1
"Afschuwelijke nacht voor de inwoners van Kyiv. Poetin zit in het defensief, en reageert zich af met een lawine aan raketten. Op woonwijken, scholen, winkels en zelfs gericht op schuilkelders.

Deze terreur mag niet winnen! Daarom blijven we 🇺🇦 steunen. ";1
Op veel te jonge leeftijd is Marjan Minnesma overleden. Daarmee verliest Nederland een pionier. Met haar moed en doorzettingsvermogen werd Marjan een van de invloedrijkste mensen voor beter klimaatbeleid. Haar nalatenschap leeft voort. Veel sterkte aan alle nabestaanden. ;1
Dit kabinet zet een belangrijke stap door handel uit illegale Israëlische nederzettingen te verbieden. Het enorme leed van Palestijnse families in Gaza en op de Westbank kan niet zonder gevolgen blijven en moet stoppen. Goed dat Nederland vandaag een duidelijke grens trekt richting de regering-Netanyahu.;1
"Dat een Joodse school in Nederland moet sluiten vanwege dreiging is diep beschamend. Kinderen moeten veilig naar school kunnen. Altijd en zonder angst. Sterkte aan alle betrokkenen. 

";0
"Gisteren was ik in Loosdrecht, waar de afgelopen weken demonstraties tegen noodopvang voor asielzoekers compleet uit de hand liepen. Ik sprak met bewoners, COA-medewerkers en de mensen die daar worden opgevangen. Dan zie je wat de komst van de noodopvang en het absurde geweld tegen politie, brandweer en de mensen in de opvang teweeg hebben gebracht.

Lees hier meer over mijn bezoek aan Loosdrecht: ";1
Oproepen tot geweld tegen Palestijnse asielzoekers. Wat een complete idiotie. Stop met deze gevaarlijke wedstrijd radicaal-rechts verplassen. ;0
"Geweld tegen politie en hulpverleners onder noemer van protest: gisteravond zagen we een nieuw dieptepunt. 
Daar zijn we állemaal de dupe van: politie, brandweer, vreedzame demonstranten.

Er is snel duidelijkheid nodig over de herkomst van dit geweld👇
";0
Vanavond is een vuurwerkbom naar binnen gegooid bij het D66-partijkantoor. Ruim dertig Jonge Democraten waren in het pand. Dat ze ongedeerd zijn is een klein wonder, want de explosie heeft een ravage aangericht. Aan degene die verantwoordelijk is voor deze idiote actie: wij laten ons niet bang maken.;0
"Het Nationaal Monument staat voor Nederland, en herdenkt allen die slachtoffer van de oorlog zijn geweest. 'Het monument dat burgers binnen in hun harten dragen'. 

Dat monument bekladden, ook nog op 4 mei, is een respectloze en walgelijke daad. ";0
Goed werk van D66-minister Van Veldhoven in Colombia. Terwijl andere politici tegen beter weten in vasthouden aan fossiele import uit dictaturen, bouwen wij samen aan een schone toekomst. En juist nu is versnellen cruciaal: energie van eigen bodem maakt ons sterker én maakt energie weer betaalbaar. Nu doorzetten!;1
"Heel veel sterkte gewenst aan Harry Bevers en zijn gezin in deze moeilijke tijd. De collega's van D66 zijn in gedachten bij jullie en hopen op een spoedig en volledig herstel.

Met Harry werk ik in de Kamer intensief samen om met een initiatiefwet de IVF-zorg in Nederland en de kennis over erfelijke ziekten te verbeteren. Ik hoop hem in de nabije toekomst weer in goede gezondheid terug te zien in de Kamer.
";1
"Europa warmt sneller op dan welk continent ook. Met extreme hitte, droogte en natuurbranden als gevolg.

Het positieve: we kunnen veel sneller de omslag maken naar groene energie van eigen bodem. Goed voor het klimaat én voor onze onafhankelijkheid.

Juist daarom is het onbegrijpelijk dat FvD en PVV zo verslaafd blijven aan fossiele import uit Rusland en het Midden-Oosten. D66 kiest wél voor vooruitgang en een schone toekomst.";1
Schokkende beelden van een mislukte aanslag op het diner in Washington met president Trump en honderden journalisten. Een avond die vrijheid van meningsuiting moet markeren wordt juist met geweld platgelegd. ;0
Verdrietig om het overlijden van senator Greet Prins. Met haar verliest de Eerste Kamer een zeer betrokken en kundige vrouw. Ondanks haar ziekte bleef zij zich tot het einde inzetten voor Nederland. Veel sterkte aan haar nabestaanden en aan het CDA. ;1
"Vandaag in de Kamer: het energiepakket. D66 kiest voor gerichte hulp voor wie dat het meest nodig heeft. En voor sneller onafhankelijk worden met schone energie van eigen bodem. Goed voor het klimaat én voor een lagere rekening.

En juist in deze tijd vraagt dat om samenwerking. En dat kán. Zoals vandaag met het voorstel van PRO om deze zomer het OV goedkoper te maken. Dat is de kracht van positieve politiek: samen plannen beter maken.";1
"De PVV saboteerde vandaag hun eigen asielwet en bracht ‘m naar de schroothoop. Dat is lelijke politiek, maar tegelijk zie ik kansen. Om nu met betere oplossingen te komen en daarmee snel meer grip op migratie te pakken. Aan het werk!

Ik vertelde erover bij ⁦@pauwendewit⁩ ";0
"D66 wil meer grip op migratie. Maar strafbaarstelling van iedereen die zonder papieren in Nederland is, past daar niet bij. Daar zijn we altijd helder over geweest. 

Dat we nu zonder de wet van Faber zitten, komt door politiek theater van Wilders. Jarenlang roepen dat het strenger moet, maar zodra het erop aankomt het eigen plan onderuit halen.

Wij kiezen voor wat wél werkt: het tweestatusstelsel, Europese afspraken voor meer grip op migratie en daarnaast met nationale maatregelen controle op de instroom. Zo blijven we stap voor stap werken aan oplossingen die Nederland vooruit helpen.";1
"Goed dat het kabinet met een energiepakket komt met gerichte steun voor mensen die dat het hardst nodig hebben.

Met een noodfonds energie en een hogere reiskostenvergoeding. Met extra hulp bij isolatie en snellere verduurzaming voor huishoudens en ondernemers. Daarmee besparen we energiekosten, maar krijgen we meteen ook meer energie-onafhankelijkheid.

Zo maken we vandaag het verschil voor mensen én bouwen we aan de vooruitgang en zekerheid van morgen.";1
D66 wil van woningbouw weer prioriteit #1 maken. Heel goed dat dit kabinet met @minister_vro alles op alles zet om het woningtekort op te lossen. Meer bouwen, meer innovatie en minder vertragende regels. Belangrijke en grote eerste stap! ;1
"Wat een historische avond. De Hongaren pakken hun democratie terug!

Viktor Orbán brak stap voor stap de rechtsstaat in Hongarije af, knevelde de pers en stortte zijn land in verval. Vandaag zetten de Hongaren met Peter Magyar een reuzestap terug naar het hart van Europa. ";1
"Wat een historische avond. De Hongaren pakken hun democratie terug!

Viktor Orbán brak stap voor stap de rechtsstaat in Hongarije af, zette  knevelde de pers en stortte zijn land in verval. Vandaag zetten de Hongaren met Peter Magyar een reuzestap terug naar het hart van Europa. ";1
"Een staakt-het-vuren in de golf geeft hoop op einde aan de oorlog, die de VS zonder duidelijk plan was gestart. 

Dat is ook te zien: ondanks alle extreme dreigementen staat in het 10-puntenplan nu geen woord over einde aan het Iraanse kernwapenprogramma. De straat van Hormuz staat nu onder Iraanse controle. 

Laat Israël zich ook voegen en de oorlog in Libanon staken. Er zijn al teveel slachtoffers gemaakt. Het is onduidelijk welke doelen de VS nu met de oorlog bereikt hebben. En ondertussen kreeg Poetin een reddingsboei in de vorm van nieuwe oliedollars. 

Het bestand zal broos zijn. Europa kan een diplomatieke rol pakken om vrede dichterbij te brengen en met de sancties druk op Iran houden. Zoveel Iraniërs hadden even de hoop op vrijheid en democratie, maar Trump sprak na een paar dagen al niet meer over regime change. We kunnen de Iraanse oppositie in Europa een stem geven.

De schok voor de wereldeconomie is nog lang niet voorbij. Ook als de rust echt terugkeert zullen we de naschokken nog heel lang voelen, aan de pomp, op de energierekening en in de supermarkt. 
Laten we nu dan ook keihard gaan verduurzamen. 

We kunnen met zon-, wind- en kernenergie totaal onafhankelijk worden van het Midden-Oosten. We kunnen in 5 jaar volledig af van gas uit Qatar en Amerika. Dat is de beste verzekering voor onze energie én onze economie.";0
Of het nou Poetin, Orbán of Netanyahu is, de PVV en Forum zijn meer bezig het buitenlandse leiders naar de zin te maken dan voor Nederland en Europa op te komen. Terwijl dat leidt tot oorlogen, je blauw betalen bij de pomp en miljoenen vluchtelingen. ;0
Verdrietig nieuws uit Suriname. Oud-president Chan Santokhi is op veel te jonge leeftijd overleden. Hij nam het leiderschap op zich na het bewind-Bouterse en zette zich als president in voor herstel, verbinding en veiligheid. Rust in vrede. Veel sterkte aan zijn familie. ;1
@RensRaemakers Gefeliciteerd Rens!;1
Meer dan 100.000 stemmen winst en in veel gemeenten bijzonder sterke resultaten voor D66. Dank aan alle vrijwilligers die met energie en optimisme de straat op gingen en lieten zien: het kan wél. Nederlanders kiezen voor oplossingen, vooruitgang én positieve politiek. Onze raadsleden gaan de komende vier jaar vol energie aan de slag. Succes allemaal!;1
Wat een schoften. Dit soort geweld tegen politici of tegen wie dan ook moeten we hard aanpakken. Heel veel sterkte aan raadslid @kreuger_kevin. ;0
"Een antisemitisch gedreven aanslag op een school. Wat een laffe intimidatie.

In meerdere landen wordt deze week met aanslagen geprobeerd de Joodse gemeenschap te raken. We staan achter alle Joodse Nederlanders, met bescherming waar nodig. En laten de daders niet vrijuit gaan. ";0
"Na eerder deze week in België nu ook in Nederland geweld gericht op een synagoge. 

Dit is intimiderend voor Joodse Nederlanders en totaal onacceptabel in ons land. Dit soort haat moet altijd bestraft worden. Laten we hopen dat daders snel opgespoord en vervolgd worden. ";0
"De nieuwe CPB-cijfers laten zien dat mensen er dit jaar op vooruitgaan én dat armoede verder daalt. 

Dat is belangrijk in deze onzekere wereld, waarin we ook fors investeren in onze veiligheid. Want mensen vooruit helpen en Nederland sterker maken kan hand in hand gaan. ";1
"Goede noodzakelijke stap van @MinisterKGG. Inzet van strategische reserves dempt de prijzen voor Nederlanders.

Tegelijk is het tijd voor een omslag: niet meer afhankelijk van het Midden-Oosten, maar volle inzet op wind, zon en kernenergie van eigen bodem. 

@telegraaf ";1
"In Limburg moest wethouder Stijn Kropman gisteren rennen voor zijn leven terwijl hij aan het flyeren was. Dat moet een doodeng moment zijn geweest. 
In Nederland moet iedereen zich veilig kunnen inzetten voor ons land, voor welke partij dan ook. Alle steun en sterkte aan Stijn. ";1
Verstandig dat het kabinet samen optrekt met Frankrijk en het Verenigd Koninkrijk. Samen kunnen we Europese bondgenoten helpen om Iraanse raketten af te weren. ;1
"De Verenigde Staten hebben de aanval ingezet op Iran. En Iran reageert met raketten op buurlanden.

Terwijl de bommen vallen, zijn het opnieuw vooral gewone Iraniërs die de onzekerheid dragen. Al jaren leven 90 miljoen mensen onder het wrede terreurbewind van Khamenei, dat met het vermoorden van duizenden demonstranten opnieuw alle legitimiteit heeft verloren.

Een oorlog starten zonder doordacht plan voor de lange termijn en zonder mandaat heeft in het Midden-Oosten vaak tot meer slachtoffers en chaos geleid. En een regime komt zelden ten val door luchtaanvallen alleen. Daarom is er alle reden voor zorg. Laat Europa zich inzetten om escalatie te voorkomen, en Nederland voor de bescherming van onze militairen en burgers in de hele regio.";0
"4 jaar terug begon Poetin zijn grootste oorlog. Hij dacht met raketten, verkrachting en ontvoeringen een vrij, democratisch land er wel onder te krijgen.

Maar Zelensky vluchtte niet, Oekraïeners vechten door voor vrijheid. En 🇺🇦 verdient onze volle steun.
";1
"Hele goede zaak. Bondgenoten horen elkaar te versterken, niet te belasten. Deze uitspraak kan handel met de VS weer vrijer en voorspelbaarder maken. Goed voor de economie van een handelsland als Nederland.
Nu weer doorbouwen aan een sterk en verenigd Europa. ";1
"Felicitaties aan @henkvermeer met het leiderschap van BBB, en dank aan @lientje1967 voor haar werk als fractieleider in de afgelopen jaren. 

Caroline ging het debat zelden uit de weg. En ook al stonden we vaak genoeg tegenover elkaar, een goed gesprek was altijd mogelijk.";1
"De doorrekening laat zien: dit coalitieakkoord zorgt voor doorbraken. En dat is hard nodig, want we willen een einde aan de stilstand. Nederland moet weer vooruit kunnen.

Nu begint het echte werk. ";1
Respect voor de keuze van Nathalie om haar Kamerzetel op te geven. Ik ben dankbaar voor haar grote betrokkenheid en harde werk in de afgelopen periode, en heb begrip voor haar besluit nu deze stap terug te zetten. ;1
;1
"Verdrietig door het veel te vroege overlijden van Bart Vink.

In de raad zag ik zijn bevlogenheid als hij kansen zag voor een mooiere stad. Altijd zette hij zich vol in vóór Amsterdam en tégen antisemitisme, en maakte daarmee het verschil. Heel veel sterkte voor zijn geliefden. ";1
Het Koninkrijk der Nederlanden dubbel vertegenwoordigd op het WK voetbal! Wat een waanzinnige prestatie van Dushi Kòrsou🇨🇼🇳🇱 ;1
@Marco855703 @IlanaRooderkerk Ik word beleid;1
@arthur63004322 @IlanaRooderkerk True;1
@Borgy333 @IlanaRooderkerk Landbouw, natuur, stikstof en emancipatie!;1
@daansnaterse @IlanaRooderkerk @javijlbrief @Sneller Ja. Nee. EZ wordt @ouafa070 en Jan Schoonis.;0
@FransenKoos @IlanaRooderkerk Zou mooi zijn hè?;1
"Voor Buitenlandse Handel kunt u terecht bij Mpanzu Bamenga.

We hebben er zin in!";1
"DIENSTMEDEDELING

Heel veel nieuwe collega's = nieuwe portefeuilles!
Vanaf heden ben ik woordvoerder Asiel &amp; Migratie.

Onderwijs gaat naar @IlanaRooderkerk. 
Media naar Ouafa Oualhadj.
Buitenlandse Zaken wordt Hanneke van der Werf en Europese Zaken gaat naar Felix Klos.";1
@Esther_Voet Je leest de vragen dus niet eens. Dat is wel heel lui twitteren.;0
"De berichten over massamoord en verkrachtingen door de RSF in Noord-Darfur zijn weerzinwekkend.

Het Internationaal Strafhof wil zorgen dat aanstichters niet vrijuit gaan. NL kan daarbij helpen, met onderzoek én beschermen Hof tegen 🇺🇸 sancties. 
Kamervragen met @MpanzuBamenga👇 ";1
Love the sight of morning papers ;1
"Democratie is een feest, dus 15 uur geleden bracht ik al m'n stem uit. En u kunt dat nog tot 21u vanavond doen.   

Ga stemmen, want vandaag kunnen we de positieve krachten verenigen. En samen een punt zetten achter het tijdperk Wilders!
";1
@fransweisglas @Castricum_NL @Paulslettenhaar @D66 Haha, veel extra stemmen als ik de sfeer in het stembureau proefde! ;1
"Morgen staan we voor de keuze.

Nog eens twintig jaar gehaat en gechagrijn van Wilders.
Of met de positieve krachten samen aan de slag. #hetkanwel ";1
"🚨Ook bij peiling De Hond zit D66 het meest in de lift met +5 zetels in 4 dagen tijd. De PVV zakt snel weg. Bewegingen bij andere partijen bijna binnen de foutmarge.

We kunnen morgen met alle positieve krachten de PVV verslaan! #hetkanwel ";1
"🚨D66 voor het eerst grootste partij in peiling #IPSOS! Nek-aan-nek-race met PVV en GL-PvdA. 

Nederland laat duidelijk zien dat het wél kan. Ga stemmen! Samen kunnen we Wilders verslaan! ";1
Wanneer steeg een partij voor het laatst 8 zetels in de peilingen? #hetkanwel ;1
"🚨D66 maakt reuzensprong in peiling #EenVandaag en de PVV zakt hard. Gat tussen Jetten en Wilders nog maar 5 zetels. 

Wie krijgt het initiatief in de formatie: Wilders, Timmermans of Jetten? ";1
Rob Jetten maakt in het EenVandaag debat duidelijk dat het noodzakelijk is om te investeren in defensie. Alleen zo beschermen we democratie en vrijheid. In Nederland, Europa én Oekraïne. ;1
"Ruim een miljoen soldaten offerde Poetin op, en nóg heeft hij niet de hele Donbas bezet. 
Maar: zonder de beste steun kan 🇺🇦 niet overal alles tegenhouden, en vandaag trekt 🇷🇺 Pokrovsk binnen. 

Laten we eindelijk met sterkere sancties &amp; steun Poetin tot staakt-het-vuren dwingen. ";0
Rob Jetten is er klaar voor om minister-president te zijn. Doe mee: ;1
"Rob Jetten pakt Wilders aan in het debat van het Zuiden:
""Wilders is beroepsdemonstrant geworden, die maar angst blijft stoken en maar blijft poken."" ";0
"🚨Peiling I&amp;O zet campagne op z’n kop! D66 als raket omhoog. Wilders nog maar halve fietslengte voor. 

De grootste partij heeft het initiatief in de formatie. Dit is de kans om Nederland te verlossen van de schaduw van Wilders. #hetkanwel ";1
"Steeds meer Nederlanders zien wat Rob Jetten te bieden heeft! 

Bontenbal en Jetten daarom bovenaan in vraag wie mensen als nieuwe premier willen. Ze staan allebei in drie debatten de komende dagen.. #hetkanwel ";1
"Terecht wordt breed opgemerkt dat met Jetten het een veel beter debat kon zijn.

“Als je de gunfactor niet hebt, dan kun je het vergeten. En Jetten is qua sympathie de koning!” #hetkanwel ";0
"De provocaties van Poetin gaan door. Allemaal om Europa te testen.

Dit soort agressie mag niet gratis zijn. 

➡️ Sanctiepakket mét vorderen van 130 mrd Russische tegoeden
➡️ Russische schaduwvloot gaan aanhouden/controleren
➡️ Bereid een luchtverdedigingszone boven West🇺🇦 voor ";0
“Het debat was een herhaling van zetten. En ik vind het jammer dat Jetten er niet bij was, want dat is wel de ster van deze campagne.” #hetkanwel ;0
Voor ons realistische drugsbeleid krijgt D66 het hoogste A-label van @vocnederland in de Cannabiswijzer. We breken het verdienmodel van drugscriminelen en kiezen voor legalisering én gezondheid. 🌿 ;1
"En dan mijn persoonlijke favoriet: de stemhulp voor fietsers van de @fietsersbond.
Ook daar krijgen we de hoogste score! Of je nou een omafiets, mountainbike, bakfiets, e-bike of tandem hebt: met D66 kom je verder 🚴‍♀️💨 ";1
"Ook voor duurzame landbouw staan we sterk. 🌾
In de stemhulp over bestrijdingsmiddelen, biodiversiteit en duurzame landbouw scoren we hoog! @PanNederland ";1
"Bij D66 zijn we van alle markten thuis.
Op de Innovatiemonitor van @TNO_nieuws kleuren wij namelijk alle bolletjes groen. 💡🟢 ";1
"D66 geeft om mens, dier én milieu. 🌍
Ook op de Dierenkieswijzer van @dierbescherming halen we de maximale score. 🐾 ";1
"Gezien de ontwikkelingen aan de andere kant van de oceaan blijkt maar weer hoe belangrijk een vrije pers is. 
Bij Free Press Unlimited scoren wij gedeeld het hoogste op de persvrijheidmeter. ";1
"Bij D66 vinden we dat elke jongere de juiste steun verdient.
Daarom scoren we het beste op de kieswijzer van de Jeugdzorg. 💚 ";1
Ook op de stemhulp van het @LongFonds voor gezonde longen en schone lucht kleuren wij alles groen. ;1
Volgens de analyse van Transport en Logistiek Nederland (@TLNnieuws) geeft D66 bovendien verreweg het meeste uit aan infrastructuur. 🚧 ;1
Ook voor vrouwenrechten spannen we ons maximaal in: bij @WOMENInc zijn wij zelfs de énige partij die álle bolletjes afvinkt. ✔️ ;1
"We zetten ons natuurlijk keihard in voor de toekomst van het onderwijs en wetenschappelijk onderzoek.

Bij @WOinactie scoren we de meeste groene vakjes! 🎓 ";1
"Ligt u vanavond op de bank en zoekt u nog stemadvies? 

Dan zeggen wij: stem D66.

Maar neem het niet alleen van ons aan!
Bij tal van kieswijzers – van onderwijs tot vrouwenrechten – komen wij als een van de beste uit de bus. Hier een overzichtje 👇 ";1
"Onderwijs! Sommige partijen (bijvoorbeeld PVV, VVD &amp; CDA) denken dat je daar nóg meer op kunt bezuinigen.

No way, zegt Rob Jetten. We gaan juist investeren in betere salarissen, gelijke kansen én meer wetenschap!
";1
"Ministers die fabeltjes verkondigen, premier zonder mandaat.

Door het experiment van Wilders &amp; Yesilgöz is Nederland gedegradeerd. Terwijl we Europa veel te bieden hebben! NL kan leidend zijn voor meer handel, klimaatactie en sterke Europese defensie. ";0
"Trump heeft de top met Poetin alweer geschrapt en Rutte praat vandaag op ‘daddy’ in.

Feit is: er gaan geen Tomahawks naar 🇺🇦, meevaller dus voor de 🇷🇺 oorlogsindustrie. 

Laat 🇪🇺 nu doorpakken: door nieuw sanctiepakket én 200 miljard 🇷🇺 tegoeden naar 🇺🇦!
";0
"D66 zet de opmars voort! Nu weer +2 bij peiling, de VVD voorbij en als enige progressieve partij in de lift. 

Zoals Johan Derksen gisteravond zei: ""Steeds meer mensen om mij heen gaan voor Jetten."" #hetkanwel ";1
@TimKuijsten Hier Tim: ;1
"Nee, Henri Bontenbal. Kinderen aanleren dat vrouwen ‘onderdanig’ zijn aan mannen, of dat homoseksuele stellen niet hand-in-hand mogen lopen, heeft niets met fatsoen te maken. 

Laten we optreden tegen religieuze scholen waar kinderen wordt geleerd onze grondwet te vergeten. ";0
"Eén telefoontje met Poetin en Trump is alweer om. Sterker: hij schreeuwt dat Zelenskyy moet toegeven aan Rusland.
 
We kunnen als Europa niet op de VS blijven leunen. Onbegrijpelijk dat partijen links en rechts niet voor een Europese krijgsmacht kiezen. Samen = veel sterker. 🇪🇺🇳🇱 ";1
"@JOVD Over regels gesproken! De VVD wil dat voor elke 60 woningen verplicht minimaal 100 parkeerplekken komen. 

Ultieme manier om bouwprojecten in steden onmogelijk te maken, en de halve JOVD te veroordelen tot de zolder van paps en mams. Zo gaan liberalen toch niet met elkaar om?😀 ";0
@HuubBellemakers @RobJetten Nieuw tijdperk!;1
"Timmermans valt drie keer uitgebreid D66 aan in eerste 11 minuten. 

Zou dat iets met de peilingen te maken hebben?#RTLdebat";0
"Leuke ankeiler bij het #Rtldebat! Bontenbal gaat fatsoenlijk zijn, Dijk assertief.

En @RobJetten zegt terecht: No way dat we ons neerleggen bij Wilders als grootste! Of hij zich nou blijft afmelden voor TV-debatten of niet. Want Nederland is niet van de PVV.";1
"Israël voert weer aanvallen uit door heel Gaza. Hamas executeert Palestijnse burgers en valt Israëlische troepen aan.

Amerika, Arabische landen én Europa moeten nu in actie komen om  hervatting van de oorlog te stoppen. Opnieuw blokkeren van noodhulp door Israël is onacceptabel. ";0
@karstenklein @HenriBontenbal @cdavandaag De beste natuurkundigen staan bij DSM aan wal hè😀;1
"Andermaal laat Trump zich door Poetin in de luren leggen.

Hij had een kans Rusland naar de onderhandelingstafel te dwingen. Met de Tomahawks had Oekraïne immers de Russische wapenindustrie kunnen aangrijpen. Poetin kan nu weer de oorlog verlengen. ";0
"🚨D66 schiet drie zetels omhoog in peiling De Hond en haalt ook hier de VVD in. Wilders levert flink in. 

Nog tien dagen! #robmentum #d66
";1
@CniraK Nóg leuker!;1
@EllenBijster MANY PEOPLE ARE SAYING;0
The polls, they are a-changin ;0
"Coenradie is het niet eens met Nanninga over de islam, Eerdmans niet met Coenradie over het cellentekort en nu is nummer 4, Hoogeveen, het niet eens met Nanninga over Gaza-demonstraties.

Tip voor JA21: praat eens met elkaar? ";0
@Adrivvn ;1
