Posts;Labels
Markuszower neemt geen woord terug, op rechts blijft het oorverdovend stil. De premier reageert laat en slap. Dit is geen willekeurige uitspraak van een politicus, maar een oproep tot geweld. Daar mag geen enkele ruimte voor zijn. Wij willen volgende week een debat.;0
Gidi Markuszower doet een oproep tot “maximaal geweld” tegen Palestijnse vluchtelingen. Diep weerzinwekkende taal, een absoluut dieptepunt. Dit vraagt om een collectieve veroordeling, van rechts tot links, van Kamer tot kabinet.;0
"Dit is het gevolg van onafgebroken ophitsen door extreemrechtse groeperingen. Crimineel gedrag dat je niet af kan doen met zogenaamd ‘legitieme zorgen’. Het is een directe ondermijning van onze democratie. En bovendien levensgevaarlijk.

";0
"PRO zegt al vanaf dag één tegen dit minderheidskabinet Jetten: de verhoging van de AOW, en de bezuinigingen op de arbeidsongeschiktheidsverzekering en de werkloosheidsuitkering moeten van tafel.

Mensen die keihard werken verdienen het om gezond hun pensioen te halen. ";0
En politici die naar dit soort demonstraties komen om de boel op te stoken zijn onderdeel van het probleem. Neem onze democratie serieus. Ga ervoor staan, in plaats van haar te ondermijnen.;0
"Vuurwerk gooien, mishandeling van een boa, extreemrechtse relschoppers. En nu deze explosie. Dit is niet normaal. De politiek moet zich hiertegen uitspreken. Dit is niet het Nederland dat we willen zijn. 

";0
"Deze bezuinigingen gaan we niet laten gebeuren. Het is oneerlijk dat gewone mensen langer door moeten werken en fors gekort worden als ze werkloos raken of arbeidsongeschikt.

Wij trekken samen op met de vakbonden om deze plannen van tafel te krijgen! ✊

";0
Onacceptabel wat er vanavond is gebeurd bij het partijkantoor van D66. En al de tweede keer. Dit soort geweld en intimidatie zijn een regelrechte aanval op onze democratie en rechtsstaat. Dat mogen we geen moment tolereren. Sterkte aan alle betrokkenen. ;0
"Megawinsten voor oliebedrijven terwijl we steeds meer betalen voor onze energie. 

Het kan ook eerlijk. Door de overwinsten te belasten en met de opbrengsten het leven van gewone mensen weer betaalbaar te maken. ";0
"Respectloos en onacceptabel. Vandaag staat in het teken van herdenken en stilstaan bij ons gedeelde verleden. Dat doen we met elkaar op een waardige manier. Dit soort vernielingen horen daar absoluut niet bij.

";0
"Niemand zou geld moeten toeleggen om naar werk te reizen. Toch is dat de realiteit in o.a. de kraamzorg en thuiszorg.   

Daarom komt PRO op de Dag van de Arbeid met een plan, zodat iedereen voortaan hun reiskosten vergoed krijgt.

";1
"Voor 49 euro onbeperkt reizen in de daluren met trein. Dat is wat PRO wil regelen voor jou. 

Het leven is al duur genoeg en de energiecrisis maakt vervoer nog duurder. Tijd voor plannen die gewone mensen echt helpen. Dat is onze inzet in het debat.

";1
"Dit pakket is onvoldoende, zo help je gewone mensen de crisis niet door.

Belast de dikke winsten van oliebedrijven. Gebruik dat geld om gewone mensen wél echt te helpen.

PRO komt in de Tweede Kamer daarom met voorstellen om reizen met trein, bus en auto betaalbaarder te maken. ";0
"Precies nu het leven voor gewone mensen steeds duurder wordt, krijgt dit minderheidskabinet het voor elkaar om twee plannen te presenteren die de huren hoger maken en de zorg duurder. 

Logisch toch? 😅

";0
"De zorg moet niet asocialer, maar juist socialer. 

Heel slecht idee om het eigen risico te verhogen. Dit maakt zorg voor gewone mensen duurder en oneerlijker. 

Dit kan echt anders. Het kabinet rijdt op een muur af.

";0
"Wat een hoopvol nieuws! Het einde van het tijdperk Orbán. De Hongaren hebben duidelijk gekozen vóór vrijheid, vóór democratie en vóór Europa. 

";1
"Door de rekening bij gewone mensen te leggen terwijl de allerrijksten worden ontzien, rijdt Jetten af op een muur.  

Vandaag debatteert het minderheidskabinet met de Eerste Kamer over het regeerakkoord. Ook daar zal blijken: een fundamentele koerswijziging is nodig.";0
"De olieprijzen stijgen. Laten we zorgen dat het OV betaalbaarder wordt.

";1
"Dit land verdient een nieuwe politiek die vooruitgang vooropstelt voor ons allemaal. Die staat voor eerlijk delen. Voor standvastig zijn en trouw blijven aan wie je bent.

Dat is waar wij voor zijn opgericht. 

Welkom thuis bij Progressief Nederland. ";1
"Progressief Nederland, roepnaam: PRO. 

Dat is de nieuwe naam van GroenLinks-PvdA. PRO staat voor een eerlijke en rechtvaardige samenleving. 

Ik ben Pro. Jij ook? ";1
"Dit is echt onverantwoord, een houding die doet denken aan de coronacrisis. We moeten ons voorbereiden op een grote disruptie van de wereldeconomie.
";0
"Afgelopen najaar waren we in 8 plaatsen de grootste, en nu in 42! Ontzettend goede prestatie, wat niet was gelukt zonder onze geweldige campaigners en jullie stem en vertrouwen. Dank jullie wel!

Wij gaan keihard aan de slag voor een Nederland waar iedereen vooruitkomt! ";1
"Ik heb gestemd voor een groene, sociale en progressieve gemeente! Jij ook? 

Als je nog niet hebt gestemd, zoek je stempas en identiteitsbewijs erbij en loop nog even naar het stembureau. Gebruik je stemrecht, de keuze ligt in jouw handen. Kies GroenLinks-PvdA. 💚❤️ ";1
Een woontoren met appartementen van 2000 euro per maand? Dat is voor gewone mensen onbetaalbaar. Daarom moeten we de woningbouw niet aan de markt overlaten, maar moet de overheid een grotere rol gaan spelen in het bouwen van betaalbare woningen. #GR26 #NederlandKiest ;0
"Het kabinet wil tot augustus wachten om maatregelen te nemen tegen de stijgende energieprijzen. Terwijl de betaalbaarheid van het leven al onder druk staat. 

Die afwachtende houding is onverstandig. We moeten ieder moment kunnen ingrijpen. We willen hierover zsm in debat. ";0
"Ga stemmen woensdag. Kies voor groen en sociaal. Voor betaalbare huizen en leefbare buurten. Samen geven wij een progressief antwoord op de rechtse agenda vanuit Den Haag.

Wij zetten de laatste dagen nog alles op alles. De eindsprint is ingezet! 🏁 2/2 ";1
"In Arnhem voor de laatste get-together voordat we woensdag gaan stemmen bij de gemeenteraadsverkiezingen! 🗳️

Op heel veel plekken is het ontzettend spannend. We kunnen de grootste worden! 1/2 ";1
Dit kabinet legt de rekening bij gewone mensen. Wij laten grote vermogens en bedrijven eerlijk bijdragen. Stem 18 maart GroenLinks-PvdA. ;1
Mensen wilden progressieve verandering, maar kregen een VVD-coalitieakkoord met bezuinigingen in plaats van oplossingen voor de betaalbaarheid van het leven, zoals de energieprijzen.;0
Vannacht weer een aardbeving. De gevolgen van de gaswinning zorgen ook in Drenthe dat de aarde beeft en mensen ‘s nachts wakker schrikken. Onbegrijpelijk dat er partijen zijn die de veiligheid van het Noorden op het spel willen zetten door de gaswinning weer op te schroeven. ;0
"Dit is niet een gerichte aanslag op een gebouw, maar op de veiligheid van de hele Joodse gemeenschap. 

Antisemitisme is onaceptabel! 

We stellen vragen aan de minister van Justitie om ervoor te zorgen dat de beveiliging van Joodse instellingen en personen op orde is. ";0
"Vandaag werd ik flink ondervraagd op mijn oude middelbare school in Breda. 

Een kleine school, waar iedereen elkaar kent. En zo voelt het eigenlijk nog steeds! Fantastisch om hier weer even te zijn en met de leerlingen te spreken.
";1
"Wat bezielt je als je midden in de nacht van Tilburg naar Rotterdam rijdt om brand te stichten bij een synagoge.

Opstaan tegen antisemitisme is nog iedere dag hard nodig. Goed dat de vermoedelijke daders snel opgepakt zijn.
";0
"Terwijl de prijzen aan de pomp enorm stijgen voor gewone mensen, zijn de allerrijksten druk bezig met de winsten in eigen zak te steken. Totaal het verkeerde signaal. Een verantwoordelijk bedrijft trekt dit voorstel in.
";0
P.s. wat écht werkt op lange termijn? Onze afhankelijkheid van olie en gas afbouwen en sneller verduurzamen!;1
"De energieprijzen stijgen hard, terwijl het leven al duur is. Bedrijven als Shell verdienen er grof geld aan. Gewone mensen betalen.

De afwachtende houding van het kabinet is niet uit te leggen. Kom in actie, bereid maatregelen voor om mensen te beschermen tegen absurde prijzen.";0
"Geef bij de gemeenteraadsverkiezingen een duidelijk progressief antwoord op de ruk naar rechts vanuit Den Haag.

Ga de straat op. Ga in gesprek. Overtuig mensen van onze plannen om Nederland vooruit te helpen. Dan kiezen onze steden en dorpen op 18 maart progressief. ";1
"De man met het grootste sociale hart van Nederland wordt voorzitter van de grootste vakbond. Dat is uitstekend nieuws! Van harte Hans. Ik kijk uit naar de samenwerking. Er is veel werk te doen.

";1
"Sterk interview met @LodewijkA. Samen onderhandelden wij in 2019 over het pensioenakkoord.

Ook hij zegt kraakhelder: het kabinet heeft een fout gemaakt. De geplande verhoging van de AOW-leeftijd moet naar de prullenbak.

";1
Yes! Ons voorstel om in 2026 weer €7 miljoen vrij te maken voor wijkgerichte vaccinatieaanpak krijgt steun. In grote steden is de vaccinatiegraad al jaren heel laag, maar de wijkgerichte aanpak maakt écht verschil. Gelukkig kan dit nu worden doorgezet! 🙏 ;1
"Dit plan is maandag al door de vakbonden afgewezen. Het kabinet maakt weer een inschattingsfout door gewoon vast te houden aan miljardenbezuinigingen op de AOW. 

Er is maar één juiste route: het plan moet van tafel.

";0
"Het kabinet zet haar plannen om de AOW-leeftijd te verhogen stug door. Daarmee blijft het toondoof voor de zorgen van gewone mensen. Groot gelijk dat de vakbonden weer een duidelijk signaal geven. Het kabinet is aan zet. Dit plan moet van tafel.

";0
De aanval van de VS en Israël druist in tegen het internationaal recht en riskeert een oorlog in de regio. Onze inzet moet gericht zijn op diplomatie, de-escalatie en de bescherming van onschuldige burgers. 2/2;0
De escalatie in het Midden-Oosten is zeer zorgwekkend. Het Iraanse regime is moorddadig en verwerpelijk. 1/2;0
"Voor ons is de belangrijkste vraag: is dit eerlijk?

Dit is het verhaal van Auke en wat de miljardenbezuinigingen van het kabinet voor hem betekenen. Leg mij maar uit: is dit eerlijk?

#regeringsverklaring ";0
"Dit plan moet van tafel.

";0
"Dit minderheidskabinet is van plan de belastingen te verhogen voor gewone mensen, terwijl van de rijkste mensen en grote bedrijven niks wordt gevraagd. Dat is oneerlijk. Het schaadt het vertrouwen van al die mensen die ons land draaiende houden.

#regeringsverklaring ";0
Vandaag herdenken we de Februaristaking van 1941. Er was veel moed nodig om tijdens de bezetting zo tegen de Jodenvervolging te protesteren. Laat het je inspireren om ook nu op te blijven staan tegen onrecht en te strijden tegen antisemitisme, racisme en vreemdelingenhaat. ;1
"Met de verhoging van de AOW-leeftijd, moeten mensen tot na hun 70e werken.

Wat is daar eerlijk aan, als je jong bent begonnen, een loodzwaar beroep hebt en moet werken tot je letterlijk niet meer kunt?

Tijdens het debat over de #regeringsverklaring. ";0
"De vakbonden hebben groot gelijk: de verhoging van de AOW-leeftijd moet van tafel. Er is geen enkele steun voor. Niet in het parlement. En niet in de samenleving.

";0
"Vier jaar geleden begon Rusland zijn grootschalige agressieoorlog tegen Oekraïne.

Nog elke dag vechten Oekraïeners voor hun vrijheid en daarmee ook voor onze vrijheid. Hun strijd vraagt om onze niet-aflatende steun. Want wie vecht voor vrijheid, mag nooit alleen staan. ";1
"De financiële plannen van het kabinet: gewone mensen gaan honderden euro’s meer betalen, terwijl de allerrijksten niets extra’s gevraagd wordt. 

Dat is niet eerlijk en brengt NL niet vooruit. 

Wij nemen de verantwoordelijkheid om deze plannen aan te passen. Dit moet anders.";0
"👇

";1
"Vandaag is de Partij van de Arbeid 80 jaar geworden!

Ik ben trots op waar we vandaan komen, en vol vertrouwen in wat we samen gaan bouwen. 💚❤️

Lees mijn volledige speech hier terug: ";1
"Gewone mensen betalen de rekening van dit regeerakkoord en er vallen harde klappen in de zorg en sociale zekerheid.

Een meerderheid van de Kamer steunde vanavond deze motie: er is geen steun voor het financiële beleid van het toekomstige kabinet. ";0
"Wat Nederland nodig heeft is dat de politiek weer gaat werken. Dat vraagt om een fundamentele koerswijziging van het regeerakkoord, want in de plannen die er nu liggen betalen gewone mensen de rekening terwijl de allerrijksten worden ontzien.

In het debat over het regeerakkoord. ";0
"Iedereen moet kunnen meedoen in onze samenleving. Als je een beperking hebt, dan wil dat niet zeggen dat je beperkt bent.

Dit akkoord legt de rekening neer bij gewone mensen terwijl superrijken worden ontzien. Dat laten we niet gebeuren. Een fundamentele koerswijziging is nodig. ";0
"De plannen die er nu liggen zijn onverantwoorde bezuinigingen die gewone mensen keihard raken.

Wij willen dit land verder vooruit helpen en zullen daarom keihard knokken om te zorgen dat dit akkoord groener en socialer wordt. ";0
Onze eerste reactie. ;1
"Historische uitspraak!

En een enorme opdracht voor de nieuwe coalitie om samen met de Kamer de klimaataanpak te versnellen.

";1
"Heel goed nieuws! We hebben jarenlang gestreden om dit prachtige stukje natuur te behouden. Mooi dat er nu naar een goedkoper en beter alternatief wordt gekeken.

";1
"Vandaag worden wereldwijd slachtoffers van de Holocaust herdacht. Opdat wij nooit vergeten. 

Herdenken is voor mij meer dan terugkijken. Het is een opdracht om niet te zwijgen als we onrecht zien, om op te staan en ons uit te spreken.  

Niet alleen vandaag, maar iedere dag.";1
"Wij zijn de stem van progressief Nederland. Wij strijden voor groene en sociale vooruitgang. Daarom zetten we vandaag een stap vooruit. Wij gaan de verantwoordelijke oppositie vormen.

Lees hier mijn speech: ";1
"Wat gebeurt daar allemaal aan die formatietafel? Waar komt dit opeens vandaan? Wie heeft ervoor gelobbyd dat het allereerste voorstel van de coalitie gaat over bonussen voor banken?

Wij vragen vandaag informateur Lettschert om opheldering over de totstandkoming van dit voorstel.";0
"Banken mogen straks hogere bonussen uitdelen. Dat is het allereerste dat de nieuwe coalitie van D66, CDA en VVD regelt. 

Niet meer woningen, geen stikstofwet, geen plan om t leven betaalbaar maken. Nee, ze komen met een wetswijziging die in geen enkel verkiezingsprogramma stond.";0
"Dat Trump kiest voor provoceren en chanteren bewijst opnieuw: Europa moet grenzen stellen. Meebewegen en vleierij werken niet. Dit vraagt om een snelle, eensgezinde en krachtige reactie.

";0
Wat een aangrijpende beelden van de explosie in Utrecht. Goed dat hulpdiensten en ook vrijwilligers snel ter plekke zijn en het calamiteitenhospitaal klaarstaat om gewonden te helpen. Heel veel sterkte aan hen en iedereen die betrokken is.;1
"De illegale aanval van de regering Trump op Venezuela kan grote gevolgen hebben voor de regio, óók voor Aruba, Bonaire en Curaçao. 

Ongeacht Maduro’s beleid schept dit een gevaarlijk precedent. Wij willen vandaag van de regering duidelijkheid over de veiligheid van de eilanden.";0
"Heel veel dank aan alle hulpverleners die keihard hebben gewerkt zodat wij veilig 2026 konden inluiden. 

Dat juist zij te maken krijgen met ongekend geweld, is pijnlijk en onacceptabel.

Het is nu tijd voor een nieuwe vuurwerktraditie, die leuk en veilig is voor iédereen. ";1
