Posts;Labels;date_created
‘ Hamas is vrouwenhaat. Maar wie dat weten wil, wist het al.' Jolande Withuis. 🎯 ;0;2026-05-30T09:32:25.000Z
Hier ➡️ ;1;2026-05-30T09:28:47.000Z
"Zoek de verschillen…..

De uitspraak van Lubbers “Nederland is ziek” van begin jaren ‘90 is ook nu aan de orde. 1.5 miljoen mensen zijn afhankelijk van ons sociale vangnet. Onuitvoerbaar. Onhoudbaar. Donderdag debat in de Tweede Kamer. ";0;2026-05-29T09:07:29.000Z
"De boodschap van kabinet-Jetten aan onze boeren: krimp of verdwijn.

Boerengezinnen die ons voedsel produceren, betalen opnieuw de prijs voor falend stikstofbeleid. Kabinet-Jetten dendert door, losgezongen van de werkelijkheid.

Het moet rigoureus anders.👇🏻
";0;2026-05-29T09:05:04.000Z
Dit soort uitspraken zijn de aanleiding: ;0;2026-05-28T10:47:29.000Z
"De instroom moet fors omlaag. Daarom 2 moties ingediend:

👉🏻 Geen asielprocedure in Nederland als iemand al elders in Europa een aanvraag heeft lopen;

👉🏻 Financiële bijstand (in welke vorm dan ook) alleen bij aantoonbare integratie-inspanningen.

Dinsdag stemmingen. #debat ";0;2026-05-27T10:00:48.000Z
"Nederlanders begrijpen best dat migratie niet van de ene op de andere dag verdwijnt. Maar ze verwachten wél dat de politiek doet wat mogelijk is.

Toch worden concrete voorstellen door GL/PvdA en D66 telkens weer geblokkeerd. Altijd is er wel een reden waarom het niet kan. #debat ";0;2026-05-26T18:11:38.000Z
Want buiten X is alle sociale media een oase van rust en beschaving. Hoe dan ook: kom eens uit je links-progressieve bubbel en wees geïnteresseerd in andere meningen en mensen.  ;1;2026-05-26T13:31:14.000Z
"De noodzaak van de staat als neutrale staat. Paul Frissen: “De staat is een gevaarlijke institutie omdat die een aantal dingen mag die wij allemaal niet mogen. De staat mag geweld gebruiken en mag van ons stelen.” De staat zou erg terughoudend moeten zijn in opvattingen uiten over de moraal, hoe je moet leven, wat het het goede leven is. De verleiding is namelijk groot om dat af te gaan dwingen. 
Dat is niet aan de staat. 👌🏼➡️";1;2026-05-25T16:20:09.000Z
Democratie bestaat uit twee woorden: demos en kratos. Wanneer die twee steeds verder uit elkaar groeien, gaat het mis. Dan helpen dit soort starre “de wet is de wet”-praatjes niet meer. Als de overheid langdurig de realiteit en de meerderheid van het volk negeert, verliest ze legitimiteit.;0;2026-05-24T12:18:41.000Z
Ik wil uitleg waarom de instroom niet drastisch naar beneden gaat. 🙄 ;0;2026-05-22T12:48:02.000Z
"Nederlanders willen dat de politiek verantwoordelijkheid neemt en maatregelen treft om grip te krijgen op asiel.

Onbegrijpelijk dat een Kamermeerderheid onder leiding van Klaver het debat op het laatste moment uitstelt. Wat mij betreft hadden we het gisteren al gevoerd. ";0;2026-05-22T12:27:23.000Z
@suusonline @KarinPlazi59876 Dat klopt. De naam van het debat van vanavond is een aanklacht tegen gewone burgers die al járen vinden dat de asielinstroom onhoudbaar is. ;0;2026-05-21T10:05:11.000Z
Na de zomer? Vanavond debat. Het is de hoogste tijd dat er maatregelen genomen worden. Dit kan zo niet langer. ;0;2026-05-21T08:54:20.000Z
@Denkjewel Zeker. Maar ook doen alsof het dan klaar is. Alsof er daarna niet weer duizenden komen.;1;2026-05-21T07:13:57.000Z
"Terwijl het al weken onrustig is over de komst van nieuwe AZC’s, was onze premier nergens te bekennen. En wat is uiteindelijk de oplossing van kabinet Jetten? Meer ambtenaren om plannen door te drukken.

Morgen doe ik wél concrete voorstellen om weer grip te krijgen op migratie. ";0;2026-05-20T15:51:21.000Z
"Dus tóch weer het stikstofkaartje? Alleen onder een andere naam?

Op basis van Haagse modellen moeten dan opnieuw boerenbedrijven verdwijnen die al generaties lang ons voedsel produceren.

Net als op asiel dendert kabinet-Jetten door, totaal losgezongen van de werkelijkheid.👇🏻
";0;2026-05-19T13:10:14.000Z
"Als elke persoon die een poster aanvraagt een asielzoeker in huis neemt, zijn er voorlopig geen nieuwe opvangplekken meer nodig. 

Echt, kan dit stoppen? We hebben een zelf georganiseerde asielcrisis in dit land die om allerlei redenen aangepakt en beëindigd moet worden. ";0;2026-05-19T08:28:48.000Z
