Posts;Labels;date_created
@jesseklaver ;1;2026-05-18T06:59:24.000Z
"Ontspan je ouwe reus.
En luister nou eens eerst goed wat ik heb gezegd voordat je weer gaat jengelen. 
Nederland moet een asielstop invoeren en dan inderdaad bij de grens een ieder zonder geldig visum tegenhouden.

Zoals nu gewoon al gebeurt in elk geciviliseerd land, ook in Nederland.
Als je op Schiphol bij de grens, instructies van de KMAR niet opvolgt wordt er ook nu al gepast geweld gebruikt. Desnoods maximaal geweld.

Nu over jouw Gazaanse vrienden:

Jij liep mee met de door Hamas gesponsorde en geïnfiltreerde Rode Lijn demonstratie.
Hiermee heb jij je met barbaarse terroristen vereenzelvigd.

Ik begrijp best dat jij al die Gazanen naar Nederland wil halen maar je moet het mij niet kwalijk nemen dat ik dat een enorm risico vind voor onze nationale veiligheid.

Daarom vind ik, dat onze KMAR alles op alles moet zetten, als nodig ook maximaal, om jouw terroristen vriendjes buiten de deur te houden. Kost jou Jesse misschien wat stemmen maar de Nederlander is dan wel wat veiliger. 

Zullen we het zo afspreken, amigo?";0;2026-05-14T14:55:59.000Z
Beste @MinPres kom a.u.b. terug naar NL. En schud nu even niet de handen van de elite aan de andere kant van de wereld maar houd de handen vast van al die Nederlanders die snakken naar oplossingen voor hun problemen. Kom terug en los, samen met ons, het asielprobleem en al die andere problemen van zoveel Nederlanders, op.;1;2026-05-14T11:26:15.000Z
"Oppakken, vastzetten en dan uitzetten dit soort daders.

De bestuurlijke bovenlaag van Nederland denkt dat er genoeg draagvlak is om steeds weer nieuwe potentiële misdadigers en geweldplegers ons land binnen te laten.

Maar genoeg is genoeg en vol is vol. ";0;2026-05-14T06:55:55.000Z
Zeer terecht besluit van het OM! ;1;2026-05-13T22:59:31.000Z
"Helemaal eens met de vice premier. Geweld past niet bij onze rechtsstaat. En keuren ook wij als DNA altijd en zonder uitzonderingen af.
Dit geweld ontslaat ons politici echter niet van de plicht om de problemen van al die Nederlanders, die zich oprecht en terecht zorgen maken  eindelijk op te lossen. Ik hoop beste @DilanYesilgoz dat je snel ook met ons om de tafel gaat om de asielinstroom eindelijk eens echt te stoppen, woningen te bouwen voor Nederlanders, ons geld niet meer weg te geven aan het buitenland en klimaat en de portemonnee van de Nederlanders met rust te laten en echte rust te gunnen.";1;2026-05-12T21:15:01.000Z
"Helemaal eens met de vice premier. Geweld past niet bij onze rechtsstaat. En keuren ook wij als DNA altijd en zonder uitzonderingen af.
Dit geweld ontslaat ons politici echter niet om de problemen van al die Nederlanders, die zich oprecht en terecht zorgen maken  eindelijk op te lossen. Ik hoop beste @DilanYesilgoz dat je snel ook met ons om de tafel gaat om de asielinstroom eindelijk eens echt te stoppen, woningen te bouwen voor Nederlanders, ons geld niet meer weg te geven aan het buitenland en klimaat en de portemonnee van de Nederlanders met rust te laten en echte rust te gunnen.";1;2026-05-12T21:15:01.000Z
"Helemaal eens met de vice premier. Geweld past niet bij onze rechtsstaat. En keuren ook wij als DNA altijd en zonder uitzonderingen af.
Dit geweld ontslaat ons politici echter niet om de problemen van al die Nederlanders, die zich oprecht en terecht zorgen maken  eindelijk op te lossen. Ik hoop beste @DilanYesilgoz dat je snel ook met ons om de tafel gaat om de asielinstroom eindelijk eens echt te stoppen, woningen te bouwen voor Nederlanders, ons geld niet meer weg te geven aan het buitenland en de portemonnee van de Nederlanders met rust te laten en echte rust te gunnen.";1;2026-05-12T21:15:01.000Z
Bedankt Klaas Jelle Kofferman en Frans Hakvoort van Blanco Lijst 7 op Urk voor de plezierige en gezellige ontmoeting en interessante gesprekken. En wat is Urk prachtig!! ;1;2026-05-11T18:14:21.000Z
Schandalig!! Benieuwd naar het signalement van de dader. Ik roep de politie op dit signalement vrij te geven en breed te verspreiden ;0;2026-05-10T21:07:08.000Z
