Posts,Labels,date_created
"Verdrietig om te horen over het overlijden van Sonja Barend. Generaties groeiden op met haar scherpe vragen en warme gesprekken. Ze gaf mensen een stem en bracht Nederland samen rond de keukentafel.

Een icoon van de Nederlandse televisie. Mijn gedachten zijn bij haar familie en dierbaren.",1,2026-04-12T13:48:02.000Z
"In een wereld die zo in de fik staat, is onze democratische rechtsstaat misschien wel ons grootste goed. Iets wat we samen moeten beschermen en beveiligen.

En dat begint dichtbij huis. Door morgen met je stempas naar het stemlokaal te gaan en je stem te laten horen.

Want democratie werkt alleen als we meedoen. Ga stemmen. Het kan wél",1,2026-03-17T21:09:53.000Z
"Ik zie volop kansen om met elkaar verder te bouwen aan vooruitgang voor iedereen in ons land. Want of je nou rechts bent of links, conservatief of progressief, we zitten allemaal in hetzelfde Team Nederland.

Lees hier mijn hele speech tijdens het D66 congres vandaag: ",1,2026-02-28T14:54:04.000Z
"Vandaag sprak ik voor het eerst als minister-president in de Tweede Kamer. Daar benadrukte ik het belang van samenwerking: samenwerking is de beste manier om resultaten te boeken die goed zijn voor heel Nederland. Ook voor mensen die niet op een van de coalitiepartijen hebben gestemd. Met oog voor diepgewortelde opvattingen van andere partijen. Omdat democratie meer moet zijn dan de helft plus één. Zo willen we werken. 

Waarbij we gebruik maken van de kracht van de samenleving. Er zit zoveel energie en betrokkenheid in mensen zelf. Want ik zie elke dag hoeveel energie, betrokkenheid en ideeën er zijn. Politiek moet die kracht niet blokkeren, maar mogelijk maken. Om te werken aan oplossingen die verschil maken in het dagelijks leven van mensen.

Lees hier de hele regeringsverklaring: ",1,2026-02-25T13:09:15.000Z
"Wat een dag. Straks staan we op het bordes voor de beëdiging.

Trots om dit samen te mogen doen. In een nieuwe fase, met een grote verantwoordelijkheid en vooral een gezamenlijke belofte om ons in te zetten voor iedereen in Nederland. 

Door niet te blijven hangen in wat er misgaat, maar door te bouwen aan wat beter kan. Dat vraagt om lef én samenwerking.

Op naar het bordes!",1,2026-02-23T08:39:24.000Z
"Verdrietig nieuws: Koos Postema is overleden. Een icoon van de Nederlandse radio en tv, met wie generaties zijn opgegroeid. Hij bracht nieuws en maatschappelijke kwesties op een integere en toegankelijke manier de huiskamer binnen en durfde taboes bespreekbaar te maken. Mijn gedachten zijn bij zijn dochters, kleinkinderen en andere nabestaanden. Heel veel sterkte gewenst.",1,2026-02-22T10:38:06.000Z
"Wat een geweldige race van Jutta Leerdam en Femke Kok op de 1000 meter! 🇳🇱 Topsport op het allerhoogste niveau: snelheid, focus passie én lef! 

Jullie laten zien wat er mogelijk is met talent, keihard werken en doorzettingsvermogen. Trots op wat jullie vandaag hebben laten zien op het ijs en voor heel Nederland. Gefeliciteerd!",1,2026-02-09T18:20:31.000Z
"Zojuist hebben we onze D66-ministers en staatssecretarissen voor het nieuwe kabinet bekendgemaakt. Trots op deze sterke ploeg, klaar om verantwoordelijkheid te nemen.

Ik kijk uit naar de samenwerking met de beoogde ministers en staatssecretarissen van CDA en VVD. We hebben er zin in. Aan de slag. 

",1,2026-02-09T14:36:43.000Z
"De ministersposten voor D66 zijn bekend. Binnenkort maken we ook bekend welke ministers en staatssecretarissen namens D66 in het kabinet gaan plaatsnemen. Heel veel zin om binnenkort aan de slag te gaan. Met ambitie, optimisme, samenwerking en vertrouwen voor alle Nederlanders!",1,2026-02-05T16:12:48.000Z
"Laten we Nederland weer in beweging brengen. Ik hoop dat we dit samen kunnen doen. Politiek en samenleving. Coalitie en oppositie.

Want velen van ons geloven in een andere politiek. Minder ruzie, meer vertrouwen. Meer resultaat.

Dat vraagt dat we onze krachten bundelen. Dat we voorbij het eigen gelijk kijken en samen de schouders eronder zetten. Soms zal dat schuren. Soms kost het tijd. Maar ik geloof dat het kan.

Lees hier mijn hele inbreng van vandaag:
",1,2026-02-03T16:47:21.000Z
"Vandaag starten we een nieuwe fase voor Nederland.Het is de hoogste tijd dat politici weer samen verantwoordelijkheid nemen. In ons landsbelang.

Met ambitie, oplossingen en de moed om over schaduwen heen te stappen. Een samenwerkingskabinet, omdat vooruitgang niet vanzelf komt; die maken we samen. Lees hier het hele coalitieakkoord: ",1,2026-01-30T14:13:55.000Z
"Wij willen bouwen aan een beter Nederland. Samen werken we aan grote ambities, op een manier die past bij ons land. Aan een land van kansen, respect en zekerheid voor mensen die Nederland elke dag draaiende houden. Aan dat land werken we met hart en ziel. Aan de slag. ",1,2026-01-30T09:47:01.000Z
"Vandaag staan we stil bij de Holocaust. Bij de miljoenen mensen die zijn vermoord, alleen om wie ze waren.

Achter deze cijfers zitten namen, gezichten en levens die op gruwelijke wijze zijn afgebroken. Herdenken raakt, omdat het ons herinnert waartoe haat en uitsluiting kunnen leiden.

Juist daarom blijven we dit verhaal doorgeven. En blijven we opstaan tegen antisemitisme, haat en racisme, altijd. Onze gedachten zijn bij alle slachtoffer en hun nabestaanden. #holocaustmemorialday",1,2026-01-25T10:25:50.000Z
"Hoe groot de teleurstelling ook is: blijf met je handen af van onze politie en bekogel agenten niet met vuurwerk. Dank aan politie en hulpdiensten voor hun snelle en professionele optreden, waardoor de rust snel is hersteld. ",1,2026-01-19T07:47:00.000Z
"Spanje rouwt na een onvoorstelbare tragedie. Voor tientallen families is het leven in één klap voorgoed veranderd. Mijn gedachten zijn bij de slachtoffers, hun dierbaren en bij alle gewonden. Ik wens hen alle sterkte en steun toe.",1,2026-01-19T07:35:59.000Z
Heftige beelden uit Utrecht na de explosie in de binnenstad. Veel sterkte aan iedereen die hierbij betrokken is en in angst op meer duidelijkheid wacht. Grote dank aan de hulpdiensten die nu opschalen en alles op alles zetten. Geef hen de ruimte om hun werk te doen.,1,2026-01-15T16:00:43.000Z
"Met het overlijden van Bart Vink nemen we veel te vroeg afscheid van een bijzondere man. Amsterdam verliest een bevlogen bestuurder, D66 een betrokken politicus met hart voor mensen. Mijn gedachten zijn bij zijn gezin, familie en vrienden. Bart, we zullen je missen.

",1,2026-01-12T18:19:50.000Z
"Afschuwelijke beelden uit Iran. In Teheran moeten families hun omgekomen dierbaren op straat identificeren, omdat het mortuarium vol is. Meer dan 500 demonstranten zijn inmiddels gedood en velen gewond of opgepakt.

Staatsterreur tegen moedige mensen die niets anders willen dan vrij kunnen leven. De EU moet de Iraanse Revolutionaire Garde op de terreurlijst zetten. Laat ons land daarin het voortouw nemen.
",0,2026-01-11T21:21:20.000Z
"Al twee weken lang gaan mensen overal in Iran de straat op. Met gevaar voor eigen leven komen zij op voor vrijheid, rechtvaardigheid en een beter bestaan.

Het is ronduit verwerpelijk hoe het Iraanse regime deze demonstranten met geweld en repressie probeert te breken. Mensen worden opgepakt en gedood. Het past in een langer patroon van structurele onderdrukking. Kritische stemmen worden systematisch het zwijgen opgelegd en gevangen genomen. Vrouwenrechten in Iran zijn ernstig en doelbewust ingeperkt. Het regime gebruikt repressie tegen zijn eigen bevolking om de macht te behouden.

De Iraanse vrouwen en mannen die nu de straat op gaan en daarmee hun eigen veiligheid op het spel zetten, verdienen ons respect. Dat vraagt ook om een krachtig internationaal antwoord: plaats de Iraanse Revolutionaire Garde op de Europese terreurlijst, zodat de onderdrukking van het Iraanse volk niet onbestraft blijft en politiek gevangenen vrij kunnen komen. D66 steunt de democratische krachten in Iran en wij voelen ons solidair met alle Iraniërs die vreedzaam strijden voor een vrije en hoopvolle toekomst.",1,2026-01-09T11:19:24.000Z
